0;кот;{"question":"Вашей учебной группе дали общее задание и план его выполнения, у Вас есть вроде бы неплохая идея, как сделать лучше и быстрее. Как Вы поступите?", "answers": [{"text": "Не станете проявлять инициативу, так как не уверены, что идея на 100% верная.", "score": 0}, {"text": "Обсудите с друзьями свою идею, если они сочтут ее стоящей – будете предлагать остальным.", "score": 2}, {"text": "Предложите всем вместе обсудить свою идею.", "score": 4}, {"text": "Напишете или расскажете о своей идее тому руководителю, который дал задание.", "score": 2}, {"text": "Будете решать по ситуации, в целом не очень любите проявлять инициативу.", "score": 0}]}

1;1;{"question":"Вы купили в магазине акционный товар по сниженной цене. На кассе высвечивается полная цена товара без учета скидки. Как Вы поступите?", "answers": [{"text": "Откажетесь от покупки.", "score": 0}, {"text": "Попросите сотрудника магазина пройти с Вами до полки с этим товаром и покажете сниженный ценник.", "score": 4}, {"text": "Позовете менеджера магазина и начнете предъявлять претензии по поводу некорректной работы.", "score": 0}, {"text": "Без споров заплатите ту сумму, которая высветилась на кассе.", "score": 0}, {"text": "Попросите сотрудников магазина разобраться с ситуацией, ожидая решения у кассы.", "score": 2}]}

2;2;{"question":"В Вашей компании Вы один остались со старым телефоном, друзья начали подшучивать над Вами. Как Вы отреагируете?", "answers": [{"text": "Телефон Вас вполне устраивает, не будете ничего предпринимать.", "score": 2}, {"text": "Постараетесь найти любой способ, например, взять кредит, чтобы купить новый телефон и не быть предметом шуток друзей.", "score": -1}, {"text": "В какой-то момент разозлитесь на очередную шутку и попросите друзей так не делать.", "score": 0}, {"text": "Попросите друзей на ближайший праздник подарить Вам новый телефон.", "score": 0}, {"text": "Будете шутить над своим телефоном вместе с друзьями, но телефон оставите.", "score": 4}]}

3;3;{"question":"Два ваших друга поссорились. Что Вы предпримите?", "answers": [{"text": "Не будете вмешиваться, сами поссорились – должны сами и разобраться.", "score": 0}, {"text": "Попытаетесь разобраться, кто из двоих был прав, и объяснить неправому, в чем его ошибка.", "score": 2}, {"text": "Если один из двух друзей более спокойный и склонный к компромиссу, попытаетесь уговорить его сделать первый шаг к примирению.", "score": 2}, {"text": "Займете сторону того, кто на Ваш взгляд прав, и не станете общаться со вторым участником ссоры.", "score": 0}, {"text": "Организуете повод, чтобы друзья встретились и устроите их общение при Вас, стараясь быть примиряющей стороной.", "score": 4}]}

4;4;{"question":"Вы собираетесь начать бегать по утрам. Предлагаете другу составить Вам компанию, но он не хочет. Ваши действия?", "answers": [{"text": "Будете бегать один.", "score": 0}, {"text": "Постараетесь убедить друга.", "score": 0}, {"text": "Попросите кого-то еще бегать с Вами.", "score": 2}, {"text": "Откажетесь от пробежек.", "score": 0}, {"text": "Познакомитесь с кем-то на пробежке и договоритесь бегать вместе.", "score": 4}]}

5;5;{"question":"У друга скоро день рождения, Вы предлагаете всем купить общий подарок. Часть компании за, часть – против. Как Вы поступите?", "answers": [{"text": "Купите общий подарок только от той части компании, которая одобрила Вашу идею.", "score": 0}, {"text": "Раз не поддержали все, откажетесь от идеи.", "score": 0}, {"text": "Постараетесь понять мотивы тех, кто не хочет дарить общий подарок, и все-таки убедить их.", "score": 2}, {"text": "Предложите найти компромисс и найти тот подарок, который устроит всех.", "score": 4}, {"text": "Не уверены, как поступите, будете смотреть по ситуации.", "score": 0}]}
