0;0;{"question":"Вы стоите на автобусной остановке, автобуса давно нет. Пожилая женщина явно переживает по этому поводу и спрашивает, возможно, Вы знаете, что случилось и когда автобус все-таки приедет. Как Вы отреагируете?", "answers": [{"text": "Попробуете найти информацию в интернете о расписании движения транспорта на этой остановке и сообщить ей.", "score": "4"}, {"text": "Заверите ее, что автобус скоро будет и заведете отвлекающий разговор, чтобы она не так волновалась.", "score": "2"}, {"text": "Скажете, что не знаете, но обычно слишком долго ждать не приходится.", "score": "0"}, {"text": "Поддержите ее волнения и начнете вместе обсуждать, что с этим транспортом вечно какие-то проблемы.", "score": "0"}, {"text": "Предложите ей воспользоваться такси, раз она так сильно спешит.", "score": "0"}]}
1;1;{"question":"Вы пришли в супермаркет за покупками, человек перед Вами запнулся и выронил корзинку, рассыпав содержимое на пол. Ваши действия?", "answers": [{"text": "Обратите внимание сотрудников супермаркета на проблему и попросите помочь.", "score": "0"}, {"text": "Подойдете к человеку и спросите, нужна ли ему помощь.", "score": "2"}, {"text": "Начнете собирать рассыпанные покупки, не спрашивая у человека, нужна ли помощь.", "score": "4"}, {"text": "Постараетесь подбодрить человека словами, что с Вами тоже такое случалось.", "score": "0"}, {"text": "Будете смотреть по ситуации, если сотрудники не спешат помогать, тогда, возможно, возьметесь помочь.", "score": "0"}]}
2;2;{"question": "Представьте, что Вы работаете на кассе в кинотеатре. Два посетителя очень недовольны тем, что билеты на ближайший сеанс интересующего их фильма закончились прямо перед ними. Как Вы отреагируете?", "answers": [{"text": "Скажете, что понимаете, как сильно это расстраивает и предложите посмотреть другой фильм в ближайшее время.", "score": "2"}, {"text": "Извинитесь и сообщите, когда будет следующий сеанс интересующего их фильма и наличие билетов на него.", "score": "4"}, {"text": "Вежливо попросите их принять какое-то решение, так как они задерживают остальную очередь.", "score": "0"}, {"text": "Скажите посетителям, что позовете менеджера, чтобы он помог им разрешить ситуацию.", "score": "0"}, {"text": "Искренне извинитесь и скажете, что действительно ничем помочь не можете.", "score": "0"}]}
3;3;{"question": "Вы считаете, что провели удачную фотосессию и разместили часть фотографий у себя в профиле. Но многие комментарии к посту были крайне негативными. Ваши действия?", "answers": [{"text": "Расстроитесь и удалите пост с фотографиями.", "score":-1}, {"text": "Будете читать только позитивные комментарии, не обращая внимания на негатив.", "score":0}, {"text": "Заблокируете пользователей, которые оставили негативные комментарии.", "score":0}, {"text": "Фотографии все равно Вам нравятся и Вам не так важна реакция в комментариях.", "score":2}, {"text": "Постараетесь внимательно прочитать все комментарии, возможно, там будут и какие-то дельные советы на будущее.", "score":4}]}
4;4;{"question": "Какие у Вас отношения с жителями Вашего подъезда?", "answers": [{"text": "Я всегда приветствую первым тех, кого знаю.", "score":2}, {"text": "У нас в подъезде кроме непосредственных соседей никто ни с кем не здоровается.", "score":-1}, {"text": "Я всегда здороваюсь и стараюсь вести короткие беседы с жителями моего подъезда.", "score":4}, {"text": "Я говорю \"здравствуйте\" только в том случае, если жители подъезда сначала здороваются со мной.", "score":0}, {"text": "Я действую по настроению: если оно хорошее - могу поприветствовать людей даже из другого дома.", "score":0}]}
5;5;{"question": "Вы стоите в очереди на оплату услуги через терминал. Человек, стоящий у терминала в данный момент, явно пользуется им впервые и не может разобраться, что делать. Очередь растет. Ваши действия?", "rotation": "true", "answers": [{"text": "Будете спокойно ждать, рано или поздно человек разберется.", "score":0}, {"text": "Спросите у человека, нужна ли ему какая-то помощь в проведении платежа.", "score":4}, {"text": "Начнете нервничать и всем своим видом показывать, что человек задерживает очередь, ему стоило бы пропустить других, посмотреть, как делают они и затем вернуться.", "score":0}, {"text": "Подойдете и начнете помогать человеку.", "score":2}, {"text": "Вежливо попросите человека поторопиться.", "score":0}]}
6;6;{"question": "Вы пригласили на день рождения знакомого, Ваши друзья, узнав об этом, сообщили, что у этого знакомого пищевая аллергия на некоторые продукты. Ваша реакция?", "answers": [{"text": "Когда знакомый придет, расскажете ему подробно, в каких блюдах есть ингредиенты, способные вызвать аллергию.", "score":2}, {"text": "Не придадите особого значения, наверняка знакомый на празднике сможет найти, что поесть.", "score":-1}, {"text": "Позвоните знакомому, узнаете, на что аллергия и исключите блюда с аллергенами из списка того, что планировали готовить.", "score":2}, {"text": "Позвоните знакомому, узнаете, на что аллергия и приготовите для него отдельное блюдо.", "score":4}, {"text": "Когда знакомый придет, уточните у него, что ему можно есть, и закажете это в ближайшем ресторане.", "score":2}]}
7;7;{"question": "В течение дня Вам пришлось общаться с большим количеством людей в разных местах и по разным поводам. Как Вы обычно чувствуете себя в конце такого дня?", "answers": [{"text": "Чувствуете опустошение, как будто занимались очень тяжелой работой.", "score":-1}, {"text": "Общение с людьми обычно заряжает Вас энергией, Вы были бы не прочь общаться столько каждый день.", "score":4}, {"text": "Пытаетесь проанализировать все встречи и понять, насколько эффективно Вы общались и удалось ли Вам добиться желаемого.", "score":2}, {"text": "Чувствуете обычную усталость без примеси негатива или опустошенности, если бы общались так ежедневно, проблем не возникло бы.", "score":2}, {"text": "Чувствуете, что сегодня день прошел хорошо, но Вам не хотелось бы общаться в таком режиме каждый день.", "score":0}]}
8;8;{"question": "Вы спешите по делам, к Вам подходит незнакомый человек и спрашивает, как пройти на неизвестную Вам улицу. Ваши действия?", "answers": [{"text": "Подскажете человеку, что он может воспользоваться навигатором.", "score":0}, {"text": "Извинитесь и скажете, что не знаете и к тому же спешите.", "score":0}, {"text": "Попробуете найти кого-то, кто мог бы помочь человеку, и пойдете по своим делам.", "score":2}, {"text": "Найдете улицу в навигаторе на телефоне и укажете человеку путь.", "score":4}, {"text": "Отправите человека на другую улицу, где, как Вам известно, много дорожных указателей и карт города.", "score":0}]}
9;9;{"question": "Вы пришли на праздник своих друзей после очень тяжелого дня. Настроения нет, но портить праздник тоже не хочется. Как Вы поступите?", "answers": [{"text": "Несмотря на плохое настроение, постараетесь быть душой компании.", "score":2}, {"text": "Побудете очень короткое время, поздороваетесь со всеми и уйдете.", "score":0}, {"text": "Будете общаться только с теми, кто к Вам подходит, но без особого энтузиазма.", "score":0}, {"text": "Постараетесь поднять себе настроение общением, несмотря на усталость.", "score":4}, {"text": "Постараетесь быть незаметным, особо ни в чем не участвуя.", "score":0}]}
