Объединённые Арабские Эмираты;Объединённые Арабские Эмираты,ОАЭ;
Нигерия;Нигерия;
Эфиопия;Эфиопия;
Гана;Гана;
Алжир;Алжир;
Иордания;Иордания;
Нидерланды;Нидерланды,Голландия;
Андорра;Андорра;
Турция;Турция;
Мадагаскар;Мадагаскар;
Самоа;Самоа;
Эритрея;Эритрея;
Казахстан;Казахстан;
Парагвай;Парагвай;
Греция;Греция;
Туркмения;Туркмения;
Ирак;Ирак;
Азербайджан;Азербайджан;
Мали;Мали;
Центральноафриканская Республика;Центрально-африканская Республика,ЦАР,Центрально-Африканская республика;
Таиланд;Таиланд,Тайланд;
Бруней;Бруней;
Гамбия;Гамбия;
Сент-Китс и Невис;Сент-Китс и Невис;
Ливан;Ливан;
Сербия;Сербия;
Белиз;Белиз;
Германия;Германия;
Швейцария;Швейцария;
Гвинея-Бисау;Гвинея-Бисау,Гвинея Бисау;
Киргизия;Киргизия;
Колумбия;Колумбия;
Республика Конго;Республика Конго,Конго;
Бразилия;Бразилия;
Словакия;Словакия;
Барбадос;Барбадос;
Бельгия;Бельгия;
Венгрия;Венгрия;
Бурунди;Бурунди;
Румыния;Румыния;
Аргентина;Аргентина;
Лихтенштейн;Лихтенштейн;
Мальта;Мальта;
Польша;Польша;
Ватикан;Ватикан;
Соединённые Штаты Америки;Соединённые Штаты Америки,США,штаты,Америка;
Новая Зеландия;Новая Зеландия;
Австрия;Австрия;
Сейшельские Острова;Сейшельские Острова,Сейшелы;
Литва;Литва;
Намибия;Намибия;
Лаос;Лаос;
Ботсвана;Ботсвана;
Куба;Куба;
Гватемала;Гватемала;
Сенегал;Сенегал;
Бангладеш;Бангладеш;
Сирия;Сирия;
Индонезия;Индонезия;
Джибути;Джибути;
Гайана;Гайана;
Южный Судан;Южный Судан;
Восточный Тимор;Восточный Тимор;
Танзания;Танзания;
Катар;Катар;
Ирландия;Ирландия;
Таджикистан;Таджикистан;
Армения;Армения;
Хорватия;Хорватия;
Израиль;Израиль;
Государство Палестина;Государство Палестина,Палестина;
Пакистан;Пакистан;
Афганистан;Афганистан;
Египет;Египет;
Уганда;Уганда;
Австралия;Австралия;
Венесуэла;Венесуэла;
Сент-Люсия,Сент Люсия;Сент-Люсия;
Непал;Непал;
Руанда;Руанда;
Украина;Украина;
Сент-Винсент и Гренадины;Сент-Винсент и Гренадины;
Ямайка;Ямайка;
Демократическая Республика Конго;Демократическая Республика Конго,Конго;
Эквадор;Эквадор;
Молдавия;Молдавия;
Гвинея;Гвинея;
Дания;Дания;
Малайзия;Малайзия;
Габон;Габон;
Малави;Малави;
Перу;Перу;
Португалия;Португалия;
страна Того;Того;
Великобритания;Великобритания,Англия,Британия;
Ангола;Ангола;
Замбия;Замбия;
Словения;Словения;
Люксембург;Люксембург;
Маршалловы Острова;Маршалловы Острова;
Испания;Испания;
Экваториальная Гвинея;Экваториальная Гвинея;
Мальдивские Острова;Мальдивские Острова,Мальдивы;
Никарагуа;Никарагуа;
Бахрейн;Бахрейн;
Филиппины;Филиппины;
Мозамбик;Мозамбик;
Лесото;Лесото;
Оман;Оман;
Свазиленд;Свазиленд;
Мексика;Мексика;
Белоруссия;Белоруссия,Беларусь,Беларусия;
Сомали;Сомали;
Монако;Монако;
Либерия;Либерия;
Уругвай;Уругвай;
Коморские Острова;Коморские Острова,коморских островах,коморских островов,Коморы,Союз Коморских Островов;
Кения;Кения;
Багамские Острова;Багамские Острова,Багамы;
Палау;Палау;
Чад;Чад;
Мьянма;Мьянма;
Нигер;Нигер;
Кипр;Кипр;
Мавритания;Мавритания;
Тонга;Тонга;
Индия;Индия;
Норвегия;Норвегия;
Канада;Канада;
Федеративные Штаты Микронезии;Федеративные Штаты Микронезии;
Панама;Панама;
Суринам;Суринам;
Франция;Франция;
Китай;Китай,Китайская Народная Республика,КНР;
Камбоджа;Камбоджа;
Черногория;Черногория;
Вануату;Вануату;
Маврикий;Маврикий;
Папуа - Новая Гвинея;Папуа - Новая Гвинея, Папуа Новая Гвинея,Папуа-Новая Гвинея;
Гаити;Гаити;
Тринидад и Тобаго;Тринидад и Тобаго;
Бенин;Бенин;
Чехия;Чехия,Чешская республика;
Кабо-Верде;Кабо-Верде,Кабо Верде;
Южно-Африканская Республика;Южно-Африканская Республика,ЮАР,Южноафриканская Республика,Южно Африканская Республика;
