AB;Абхазия;{"name":"Абхазия","genName":"Абхазии", "duplicateName" : "false" , "currency":"RUB", "code":"AB"}
AD;Андорра, Андора;{"name":"Андорра","genName":"Андорры", "duplicateName" : "false" , "currency":"EUR", "code":"AD"}
AE;Объединенные Арабские Эмираты,ОАЭ;{"name":"Объединенные Арабские Эмираты","genName":"Объединенных Арабских Эмиратов", "duplicateName" : "false" , "currency":"AED", "code":"AE"}
AF;Афганистан;{"name":"Афганистан","genName":"Афганистана", "duplicateName" : "false" , "currency":"AFN", "code":"AF"}
AG;Антигуа и Барбуда;{"name":"Антигуа и Барбуда","genName":"Антигуа и Барбуда", "duplicateName" : "false" , "currency":"XCD", "code":"AG"}
AI;Ангилья;{"name":"Ангилья","genName":"Ангильи", "duplicateName" : "false" , "currency":"", "code":"AI"}
AL;Албания;{"name":"Албания","genName":"Албании", "duplicateName" : "false" , "currency":"ALL", "code":"AL"}
AM;Армения;{"name":"Армения","genName":"Армении", "duplicateName" : "false" , "currency":"AMD", "code":"AM"}
AO;Ангола;{"name":"Ангола","genName":"Анголы", "duplicateName" : "false" , "currency":"AOA", "code":"AO"}
AQ;Антарктида;{"name":"Антарктида","genName":"Антарктиды", "duplicateName" : "false" , "currency":"", "code":"AQ"}
AR;Аргентина;{"name":"Аргентина","genName":"Аргентины", "duplicateName" : "false" , "currency":"ARS", "code":"AR"}
AS;Американское Самоа;{"name":"Американское Самоа","genName":"Американского Самоа", "duplicateName" : "false" , "currency":"", "code":"AS"}
AT;Австрия;{"name":"Австрия","genName":"Австрии", "duplicateName" : "false" , "currency":"EUR", "code":"AT"}
AU;Австралия;{"name":"Австралия","genName":"Австралии", "duplicateName" : "false" , "currency":"AUD", "code":"AU"}
AW;Аруба;{"name":"Аруба","genName":"Арубы", "duplicateName" : "false" , "currency":"", "code":"AW"}
AX;Аландские острова;{"name":"Аландские острова","genName":"Аландских островов", "duplicateName" : "false" , "currency":"", "code":"AX"}
AZ;Азербайджан;{"name":"Азербайджан","genName":"Азербайджана", "duplicateName" : "false" , "currency":"AZN", "code":"AZ"}
BA;Босния и Герцеговина;{"name":"Босния и Герцеговина","genName":"Боснии и Герцеговины", "duplicateName" : "false" , "currency":"BAM", "code":"BA"}
BB;Барбадос;{"name":"Барбадос","genName":"Барбадоса", "duplicateName" : "false" , "currency":"BBD", "code":"BB"}
BD;Бангладеш;{"name":"Бангладеш","genName":"Бангладеша", "duplicateName" : "false" , "currency":"BDT", "code":"BD"}
BE;Бельгия;{"name":"Бельгия","genName":"Бельгии", "duplicateName" : "false" , "currency":"EUR", "code":"BE"}
BF;Буркина-Фасо;{"name":"Буркина-Фасо","genName":"Буркина-Фасо", "duplicateName" : "false" , "currency":"XOF", "code":"BF"}
BG;Болгария, Балгария;{"name":"Болгария","genName":"Болгарии", "duplicateName" : "false" , "currency":"BGN", "code":"BG"}
