1;Виловатово;{"title": "Виловатово", "regions": [{"name": "Республика Марий Эл", "city_id": "4228", "region_id": "1620"}]}
2;Волжск;{"title": "Волжск", "regions": [{"name": "Республика Марий Эл", "city_id": "1621", "region_id": "1620"}]}
3;Звенигово;{"title": "Звенигово", "regions": [{"name": "Республика Марий Эл", "city_id": "1622", "region_id": "1620"}]}
4;Знаменский;{"title": "Знаменский", "regions": [{"name": "Республика Марий Эл", "city_id": "4229", "region_id": "1620"}]}
5;Йошкар-Ола, Йошка;{"title": "Йошкар-Ола", "regions": [{"name": "Республика Марий Эл", "city_id": "61", "region_id": "1620"}]}
6;Кельмаксола;{"title": "Кельмаксола", "regions": [{"name": "Республика Марий Эл", "city_id": "4230", "region_id": "1620"}]}
7;Килемары;{"title": "Килемары", "regions": [{"name": "Республика Марий Эл", "city_id": "4231", "region_id": "1620"}]}
8;Козьмодемьянск;{"title": "Козьмодемьянск", "regions": [{"name": "Республика Марий Эл", "city_id": "1623", "region_id": "1620"}]}
9;Красногорский;{"title": "Красногорский", "regions": [{"name": "Республика Марий Эл", "city_id": "4232", "region_id": "1620"},{"name": "Кемеровская область", "city_id": "4800", "region_id": "1229"},{"name": "Челябинская область", "city_id": "5792", "region_id": "1384"}]}
10;Краснооктябрьский;{"title": "Краснооктябрьский", "regions": [{"name": "Республика Марий Эл", "city_id": "4233", "region_id": "1620"},{"name": "Республика Адыгея", "city_id": "5554", "region_id": "1422"},{"name": "Волгоградская область", "city_id": "4578", "region_id": "1511"}]}
11;Куженер;{"title": "Куженер", "regions": [{"name": "Республика Марий Эл", "city_id": "4234", "region_id": "1620"}]}
12;Мари-Турек;{"title": "Мари-Турек", "regions": [{"name": "Республика Марий Эл", "city_id": "4235", "region_id": "1620"}]}
13;Медведево;{"title": "Медведево", "regions": [{"name": "Республика Марий Эл", "city_id": "4236", "region_id": "1620"}]}
14;Морки;{"title": "Морки", "regions": [{"name": "Республика Марий Эл", "city_id": "3667", "region_id": "1620"}]}
15;Новый Торъял;{"title": "Новый Торъял", "regions": [{"name": "Республика Марий Эл", "city_id": "4237", "region_id": "1620"}]}
16;Оршанка;{"title": "Оршанка", "regions": [{"name": "Республика Марий Эл", "city_id": "4238", "region_id": "1620"}]}
17;Параньга;{"title": "Параньга", "regions": [{"name": "Республика Марий Эл", "city_id": "4239", "region_id": "1620"}]}
18;Приволжский;{"title": "Приволжский", "regions": [{"name": "Республика Марий Эл", "city_id": "4240", "region_id": "1620"},{"name": "Саратовская область", "city_id": "2736", "region_id": "1596"}]}
19;Сернур;{"title": "Сернур", "regions": [{"name": "Республика Марий Эл", "city_id": "4241", "region_id": "1620"}]}
