01;Адыгея,Республика Адыгея,Краснодарский край и Республика Адыгея;{"name":"Республика Адыгея","capital":"Майкоп","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Юг"}
02;Алтай,Республика Алтай;{"name":"Республика Алтай","capital":"Горно-Алтайск","country":"RU", "timezone":"Asia/Krasnoyarsk", "macroregion":"Сибирь"}
03;Башкортостан,Республика Башкортостан;{"name":"Республика Башкортостан","capital":"Уфа","country":"RU", "timezone":"Asia/Yekaterinburg", "macroregion":"Поволжье ЮВ"}
04;Бурятия,Республика Бурятия;{"name":"Республика Бурятия","capital":"Улан-Удэ","country":"RU", "timezone":"Asia/Irkutsk", "macroregion":"Дальний Восток"}
05;Дагестан,Республика Дагестан;{"name":"Республика Дагестан","capital":"Махачкала","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Юг"}
06;Ингушетия,Республика Ингушетия;{"name":"Республика Ингушетия","capital":"Магас","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Юг"}
07;Кабардино-Балкарский Республика,Кабардино Балкарский Республика;{"name":"Кабардино-Балкарская Республика","capital":"Нальчик","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Юг"}
08;Калмыкия,Республика Калмыкия;{"name":"Республика Калмыкия","capital":"Элиста","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Юг"}
09;Карачаево-Черкесский Республика,Карачаево Черкесский Республика, КЧР, Карачаево-Черкесия,Карачаево Черкесия,Карачаево-Черкессия, Карачаево Черкессия;{"name":"Карачаево-Черкесская Республика","capital":"Черкесск","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Юг"}
10;Карелия,Республика Карелия;{"name":"Республика Карелия","capital":"Петрозаводск","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Северо-Запад"}
11;Коми,Республика Коми;{"name":"Республика Коми","capital":"Сыктывкар","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Северо-Запад"}
12;Марий Эл,Республика Марий Эл;{"name":"Республика Марий Эл","capital":"Йошкар-Ола","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Поволжье СЗ"}
13;Мордовия,Республика Мордовия;{"name":"Республика Мордовия","capital":"Саранск","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Поволжье СЗ"}
14;Саха,Якутия,Республика Саха,Якутия;{"name":"Республика Саха, Якутия","capital":"Якутск","country":"RU", "timezone":"Asia/Yakutsk", "macroregion":"Дальний Восток"}
15;Алания,Республика Северный Осетия;{"name":"Республика Северная Осетия","capital":"Алания, Владикавказ","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Юг"}
16;Татарстан,Республика Татарстан;{"name":"Республика Татарстан","capital":"Казань","country":"RU", "timezone":"Europe/Moscow", "macroregion":"Поволжье СЗ"}
17;Тыва,Республика Тыва;{"name":"Республика Тыва","capital":"Кызыл","country":"RU", "timezone":"Asia/Krasnoyarsk", "macroregion":"Сибирь"}
18;Удмуртия,Удмуртский Республика;{"name":"Удмуртская Республика","capital":"Ижевск","country":"RU", "timezone":"Europe/Samara", "macroregion":"Поволжье СЗ"}
